open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1666141200000,1.00000000,100.00000000,1.00000000,12.64520000,3376890.49000000,1666141499999,50505470.45382100,77950,1487470.77000000,21829560.62679800,0
1666141500000,12.59760000,13.00540000,10.80000000,11.00580000,1354385.74000000,1666141799999,16226751.20530100,29242,488246.46000000,5876955.62316300,0
1666141800000,11.00550000,11.35150000,9.54320000,10.05760000,1891018.45000000,1666142099999,19531324.40336100,29520,876183.70000000,9091016.97080300,0
1666142100000,10.01670000,10.34770000,9.10000000,9.74130000,970685.23000000,1666142399999,9470220.22980900,18915,423895.95000000,4138523.47605300,0
1666142400000,9.74110000,10.81330000,9.60000000,10.42690000,877986.07000000,1666142699999,8848696.50826000,19137,380554.74000000,3832124.82994100,0
1666142700000,10.42690000,10.65930000,9.70180000,9.76290000,780208.38000000,1666142999999,7983821.71756500,16163,353044.66000000,3623387.10980100,0
1666143000000,9.76260000,9.77700000,8.72890000,9.16860000,1236143.06000000,1666143299999,11381293.78932000,22713,507099.41000000,4678703.64880500,0
1666143300000,9.16860000,9.33900000,8.55000000,8.69230000,917830.92000000,1666143599999,8258890.15596900,16991,400846.36000000,3615760.74125300,0
1666143600000,8.65190000,8.80000000,8.19040000,8.62160000,969929.47000000,1666143899999,8223820.06402300,18102,437446.13000000,3717547.09225100,0
1666143900000,8.60230000,8.86110000,8.05580000,8.20580000,927400.41000000,1666144199999,7853990.05583400,16222,403656.42000000,3423880.62487300,0
1666144200000,8.19890000,8.59000000,7.96360000,8.48420000,910418.04000000,1666144499999,7481527.36611100,16420,376669.85000000,3108601.37531000,0
1666144500000,8.49110000,8.68870000,8.30610000,8.49460000,595576.24000000,1666144799999,5051855.65222200,11618,299581.80000000,2545498.94894400,0
1666144800000,8.50770000,8.58950000,7.80000000,7.80150000,870949.39000000,1666145099999,7127270.00908700,12734,344948.64000000,2834888.21964500,0
1666145100000,7.80000000,8.06140000,7.74430000,7.91550000,544494.13000000,1666145399999,4295559.51498300,9088,261910.99000000,2066616.98133400,0
1666145400000,7.90880000,7.92180000,7.42500000,7.59800000,717401.45000000,1666145699999,5458807.41092300,10759,286524.81000000,2182731.86472600,0
1666145700000,7.59800000,7.76940000,7.23750000,7.25780000,636700.45000000,1666145999999,4776475.83138800,10424,250627.40000000,1882830.71709300,0
1666146000000,7.25790000,7.31040000,7.01000000,7.16800000,833299.09000000,1666146299999,5959421.36086500,11201,322125.48000000,2307331.00448700,0
1666146300000,7.17040000,7.50550000,6.91700000,7.50000000,968222.72000000,1666146599999,6958061.17049300,11189,416530.05000000,3007213.24553400,0
1666146600000,7.50540000,7.51770000,7.10100000,7.23660000,405543.83000000,1666146899999,2950897.91226500,7479,186905.77000000,1361073.07306100,0
1666146900000,7.23720000,7.63000000,7.11010000,7.43920000,525239.78000000,1666147199999,3904004.43330000,8350,270886.27000000,2011614.06876100,0
1666147200000,7.43920000,7.70000000,7.30000000,7.43780000,527127.45000000,1666147499999,3958857.63209000,8438,232337.67000000,1748305.42577400,0
1666147500000,7.43540000,7.44170000,7.12210000,7.29800000,341420.07000000,1666147799999,2487617.87880300,6329,145373.07000000,1059584.35205800,0
1666147800000,7.28490000,7.44000000,7.24320000,7.27130000,244458.62000000,1666148099999,1791700.49667400,4746,115308.24000000,845508.57825300,0
1666148100000,7.27130000,7.53160000,7.25320000,7.48170000,321395.09000000,1666148399999,2378102.68358000,5135,165027.70000000,1222394.26027700,0
1666148400000,7.48170000,7.60000000,7.28700000,7.30000000,350844.27000000,1666148699999,2601457.34271000,6084,138731.25000000,1032224.41671200,0
1666148700000,7.30000000,7.35180000,7.10000000,7.10510000,255198.83000000,1666148999999,1847614.38003000,4830,106998.72000000,776046.76623400,0
1666149000000,7.10500000,7.19580000,6.93020000,7.00340000,442118.89000000,1666149299999,3118504.93632700,7592,197841.52000000,1396521.74241900,0
1666149300000,7.00370000,7.01000000,6.76930000,6.80580000,470671.06000000,1666149599999,3233609.24181700,8610,179891.97000000,1234959.83346800,0
1666149600000,6.80530000,6.98800000,6.78320000,6.92810000,296596.63000000,1666149899999,2044705.98468800,6264,156356.20000000,1077648.88414200,0
1666149900000,6.92810000,7.06970000,6.87760000,6.98170000,281304.97000000,1666150199999,1960919.49042800,5713,141179.57000000,984980.95723400,0
1666150200000,6.98170000,7.10870000,6.86050000,6.90540000,355117.94000000,1666150499999,2468774.84380300,6238,140484.79000000,978567.64046300,0
1666150500000,6.90540000,6.93990000,6.77560000,6.80250000,280146.91000000,1666150799999,1920551.07686500,5604,113981.90000000,782408.67959200,0
1666150800000,6.80200000,6.83000000,6.70900000,6.78630000,246667.04000000,1666151099999,1670856.34043900,4820,99731.20000000,676256.85646100,0
1666151100000,6.79060000,6.84490000,6.60500000,6.63000000,347864.48000000,1666151399999,2328606.52673200,6121,143735.80000000,962782.80428100,0
1666151400000,6.63020000,6.76000000,6.60000000,6.70390000,258214.03000000,1666151699999,1729005.52874400,4549,129611.23000000,868248.00675700,0
1666151700000,6.70450000,6.88880000,6.70000000,6.81470000,333204.77000000,1666151999999,2273567.52467900,6172,151855.20000000,1035937.14070400,0
1666152000000,6.80380000,7.05490000,6.74560000,7.04740000,280194.64000000,1666152299999,1932650.16160400,5393,159166.51000000,1099762.72213100,0
1666152300000,7.05210000,7.05210000,6.91500000,7.03770000,265555.88000000,1666152599999,1851005.68975900,5537,126065.95000000,878780.05711700,0
1666152600000,7.03770000,7.20000000,6.94470000,6.95890000,403317.25000000,1666152899999,2859468.12123900,7221,188697.69000000,1339080.19435000,0
1666152900000,6.95990000,7.14630000,6.94470000,7.04710000,331481.76000000,1666153199999,2335979.53539400,7039,168577.18000000,1189003.64526000,0
1666153200000,7.04350000,7.30000000,7.01000000,7.24640000,294469.47000000,1666153499999,2105344.51668600,4996,163427.83000000,1168860.54674700,0
1666153500000,7.24710000,7.45570000,7.18720000,7.18720000,352701.36000000,1666153799999,2590844.23071300,6987,156895.18000000,1153780.34382700,0
1666153800000,7.18350000,7.47290000,7.16620000,7.37300000,310924.30000000,1666154099999,2281343.27383900,6517,155485.30000000,1141203.32883100,0
1666154100000,7.35680000,7.53000000,7.32210000,7.41640000,411157.56000000,1666154399999,3066110.79793800,7631,178802.87000000,1333478.92670100,0
1666154400000,7.41710000,7.50300000,7.28000000,7.28200000,252589.03000000,1666154699999,1867677.44987500,5638,113996.15000000,843678.96710300,0
1666154700000,7.28030000,7.40000000,7.28000000,7.33300000,198556.85000000,1666154999999,1461320.82401800,4020,90316.60000000,665322.82320200,0
1666155000000,7.34250000,7.34250000,7.18450000,7.30140000,261230.80000000,1666155299999,1892590.16806900,4751,108025.89000000,782487.98331800,0
1666155300000,7.30170000,7.31600000,7.13200000,7.17410000,236538.61000000,1666155599999,1704428.22166900,4411,101474.01000000,729953.36129600,0
1666155600000,7.18060000,7.34000000,7.17700000,7.33740000,215717.36000000,1666155899999,1571208.41420600,4289,101292.12000000,737395.53049300,0
1666155900000,7.33440000,8.08000000,7.33000000,7.72950000,826875.06000000,1666156199999,6419071.76632900,15975,454910.07000000,3536276.92525500,0
1666156200000,7.72560000,8.05000000,7.70000000,7.72960000,505114.64000000,1666156499999,3987793.17345400,9790,251347.79000000,1982868.85271500,0
1666156500000,7.72980000,8.05330000,7.72980000,8.00690000,302777.37000000,1666156799999,2394864.41272900,7665,161212.00000000,1276434.25022400,0
