Token,Last Price,Percentage Change,Average Trades,Average Volume,Volume-to-Trade Ratio,Time Frame
SUSHIUSDT,1.1930,6.804,147088,44475831,51580027.4700,1681361400000
LTCUSDT,98.35,6.589,584703,3961169.645,378151921.79,1681361400000
HOTUSDT,0.002093,3.717,82564,7762952466,15938051.380000,1681361400000
ARBUSDT,1.524400,27.554,2865048,1956948933.0,2730824285.830000,1681361400000
TRXBUSD,0.0664760,2.479,36421,108215194,7077428.5500000,1681361400000
CHRUSDT,0.1770,5.294,75384,83393422,14311002.2200,1681361400000
ETCUSDT,22.943,5.113,886225,20651892.20,464236913.490,1681361400000
APEBUSD,4.6010000,3.883,64844,3258358.8,14646367.4200000,1681361340000
LQTYUSDT,2.290000,10.441,317547,34739659.3,75893427.620000,1681361400000
LINAUSDT,0.01493,9.941,444953,15072515190,219778716.59000,1681361400000
ROSEUSDT,0.06766,10.339,174761,559241421,36240624.28000,1681361400000
XRPBUSD,0.5223,3.344,67436,89840476.6,46042124.3200,1681361400000
JOEUSDT,0.6699000,11.021,356518,128702764,85230803.3700000,1681361400000
BCHUSDT,133.67,3.975,220387,531689.444,69856815.09,1681361400000
BNBBUSD,333.800,4.410,82672,141328.81,46099804.420,1681361400000
ADAUSDT,0.44120,8.590,890394,1337306937,562124608.56000,1681361400000
SKLUSDT,0.04507,8.133,107385,369997188,16142765.97000,1681361400000
GTCUSDT,1.922,4.741,77252,5175003.7,9772552.250,1681361400000
BNXUSDT,0.606000,6.316,113833,69720964.5,41395611.710000,1681361400000
ZENUSDT,11.215,7.105,77128,988650.6,10735705.270,1681361400000
AGIXUSDT,0.4203000,7.963,247356,191941277,77682261.0400000,1681361400000
API3USDT,1.7400,6.748,97684,10861504.9,18315840.0700,1681361340000
EGLDUSDT,43.000,5.651,131277,615302.3,25603921.530,1681361400000
C98USDT,0.2754,5.598,178701,130605731,35230562.2800,1681361400000
JASMYUSDT,0.006465,6.018,194524,6969971654,43475902.930000,1681361400000
AAVEUSDT,83.310,5.804,304192,1001702.5,79896917.110,1681361400000
ENSUSDT,14.226,6.538,138413,2015802.4,27800957.270,1681361400000
GMTBUSD,0.3950000,6.383,37328,18179264.9,6981305.9300000,1681361400000
1000SHIBUSDT,0.011403,4.347,398703,15326091070,171459409.730000,1681361400000
1000LUNCUSDT,0.1314000,3.140,119854,369299161,47094498.5200000,1681361400000
ICXUSDT,0.3300,13.246,278961,265654520,81509452.0100,1681361400000
TUSDT,0.0366800,3.792,58516,248825354,8989761.1500000,1681361340000
KSMUSDT,36.030,5.289,157506,1101869.4,38964602.820,1681361400000
IOSTUSDT,0.011550,5.528,99684,1073785029,12037409.450000,1681361400000
LUNA2USDT,1.4438000,-0.242,491546,74418520,105556015.9700000,1681361400000
MTLUSDT,1.3208,2.087,120447,12468574,16268538.2400,1681361400000
ADABUSD,0.44130,8.534,113724,96972636,40854720.58000,1681361400000
FTMUSDT,0.524300,3.494,604187,688483889,355536403.070000,1681361400000
VETUSDT,0.025950,5.918,107634,1044550013,26317512.570000,1681361400000
FILUSDT,6.245,5.241,444513,42611401.9,260014445.330,1681361400000
FLOWUSDT,1.047,6.511,79414,25318203.2,25769493.170,1681361400000
WAVESUSDT,2.2448,5.523,182324,15743861.6,34522276.7700,1681361400000
ANTUSDT,3.883,17.276,383594,28726557.8,103465545.770,1681361400000
FXSUSDT,9.647000,12.397,134461,2581840.9,23431913.530000,1681361400000
BTCBUSD,30710.1,2.136,536296,57889.952,1761973821.97,1681361400000
AUDIOUSDT,0.3210,3.249,200259,127575028,40572176.8300,1681361400000
RVNUSDT,0.02694,3.615,74076,473473490,12565631.04000,1681361400000
ICPUSDT,5.586000,4.587,167743,6418474,34931329.300000,1681361400000
PHBBUSD,1.1878000,11.468,79483,7569240,8320208.9900000,1681117200000
SNXUSDT,2.742,7.235,175009,15339614.2,40673060.070,1681361400000
EOSUSDT,1.291,6.959,337017,200687858.7,252135955.100,1681361400000
NEOUSDT,12.858,5.827,177606,2759922.45,34362349.290,1681361400000
TLMUSDT,0.0221100,4.292,55183,364333776,7886279.3200000,1681361340000
GMXUSDT,85.510000,9.628,130585,333777.28,27464858.340000,1681361400000
RDNTUSDT,0.3782000,21.452,375171,288321998,102110587.6400000,1681361400000
BLUEBIRDUSDT,9.23400,6.175,34159,453718.0,4063381.18000,1681361400000
NKNUSDT,0.12373,2.146,214737,395781475,48421515.81000,1681361400000
HFTUSDT,0.6657000,8.863,94563,28166447,18224867.1500000,1681361340000
OPUSDT,2.6275000,15.464,974390,169461702.8,414008792.5700000,1681361400000
REEFUSDT,0.003058,6.960,84158,4706975154,13939984.290000,1681361400000
WOOUSDT,0.28088,15.271,729068,651291861,168441842.91000,1681361400000
APEUSDT,4.6030,3.952,377620,38163979,171636346.4400,1681361400000
DYDXUSDT,2.733,11.007,416278,68726606.4,180358983.610,1681361400000
LRCUSDT,0.39170,11.184,133527,82898529,30524295.76000,1681361400000
BELUSDT,0.68710,4.518,173650,50878121,34293989.15000,1681361400000
GALAUSDT,0.04407,2.132,349672,4059661819,175817903.31000,1681361400000
CTKUSDT,0.83270,3.467,49597,6703284,5487264.44000,1681361400000
ENJUSDT,0.44060,5.533,138046,83398058,35776468.92000,1681361400000
RENUSDT,0.10640,5.734,166072,239373001,24735448.45000,1681361400000
IMXUSDT,1.1903,4.504,273069,45947871,52779034.0500,1681361400000
MANAUSDT,0.6355,5.024,232878,118980229,73495056.7300,1681361400000
MATICBUSD,1.1840000,6.965,63029,19310099,22101816.4000000,1681361400000
NEARBUSD,2.2550000,3.204,58262,6989377.9,15386573.4900000,1681361400000
RUNEUSDT,1.6760,4.489,101672,16973116,27762924.3300,1681361400000
DEFIUSDT,657.6,6.150,33550,6075.070,3874287.14,1681361400000
BNBUSDT,333.820,4.475,529524,1166244.64,379943144.520,1681361400000
BANDUSDT,1.9625,5.448,149416,10513682.7,20065854.9200,1681361400000
HOOKUSDT,1.982000,13.582,374438,60438928.7,115625708.530000,1681361400000
AVAXUSDT,19.2690,4.467,451769,11525978,217287916.3600,1681361400000
INJUSDT,7.200000,7.271,671633,42978135.3,293883213.670000,1681361400000
CRVUSDT,1.101,8.260,228203,102903841.8,109547482.050,1681361400000
SANDBUSD,0.6287000,-0.412,28315,5707330.2,3695825.8200000,1681117200000
DARUSDT,0.1886,4.720,169274,176864701.0,32977362.4200,1681361400000
XLMUSDT,0.10698,2.658,127741,295434491,31169781.32000,1681361400000
ZILUSDT,0.03085,5.578,102977,744978017,22268565.14000,1681361400000
GRTUSDT,0.15510,5.813,246561,331180060,49807882.48000,1681361400000
ALICEUSDT,1.771,5.795,69517,8617751.0,14848947.050,1681361400000
IOTAUSDT,0.2274,3.883,85174,63937428.9,14228818.2100,1681361400000
SANDUSDT,0.68040,4.725,341800,195081824,129437874.66000,1681361400000
BTCUSDT_230630,31054.2,2.159,47795,2317.326,71266203.16,1681361400000
